Date,Visitor,Home,goals_home,goals_visit,length,attendance,note
2016-02-05,Pittsburgh Penguins,Tampa Bay Lightning,6,3,2:38,19092,
2016-02-05,Carolina Hurricanes,Winnipeg Jets,3,5,2:20,15294,
2016-02-06,Buffalo Sabres,Boston Bruins,2,1,2:40,17565,OT
2016-02-06,Winnipeg Jets,Colorado Avalanche,2,4,2:45,14983,
2016-02-06,Chicago Blackhawks,Dallas Stars,1,5,2:23,18532,
2016-02-06,New York Islanders,Detroit Red Wings,5,1,2:49,20027,
2016-02-06,Pittsburgh Penguins,Florida Panthers,2,3,2:38,20295,OT
2016-02-06,Edmonton Oilers,Montreal Canadiens,5,1,2:25,21288,
2016-02-06,Washington Capitals,New Jersey Devils,2,3,2:34,16514,SO
2016-02-06,San Jose Sharks,Nashville Predators,6,2,2:35,17192,
2016-02-06,Toronto Maple Leafs,Ottawa Senators,6,1,2:29,19379,
2016-02-06,New York Rangers,Philadelphia Flyers,2,3,2:35,19819,SO
2016-02-06,Minnesota Wild,St. Louis Blues,4,1,2:43,19318,
2016-02-06,Calgary Flames,Vancouver Canucks,1,4,2:19,18570,
2016-02-07,Carolina Hurricanes,Montreal Canadiens,2,1,2:57,21288,SO
2016-02-07,Edmonton Oilers,New York Islanders,8,1,2:35,14030,
2016-02-07,Philadelphia Flyers,Washington Capitals,3,2,2:36,18506,
2016-02-08,Florida Panthers,Detroit Red Wings,3,0,2:38,20027,
2016-02-08,New Jersey Devils,New York Rangers,2,1,2:29,18006,
2016-02-08,Tampa Bay Lightning,Ottawa Senators,5,1,2:25,17078,
2016-02-08,Anaheim Ducks,Pittsburgh Penguins,6,2,2:34,18418,
2016-02-09,Los Angeles Kings,Boston Bruins,2,9,2:35,17565,
2016-02-09,Florida Panthers,Buffalo Sabres,4,7,2:36,18521,
2016-02-09,New York Islanders,Columbus Blue Jackets,2,3,2:51,14303,SO
2016-02-09,Toronto Maple Leafs,Calgary Flames,4,3,2:37,19289,
2016-02-09,San Jose Sharks,Chicago Blackhawks,0,2,2:25,21753,
2016-02-09,Vancouver Canucks,Colorado Avalanche,1,3,2:22,14436,
2016-02-09,Dallas Stars,Minnesota Wild,3,4,2:40,19087,OT
2016-02-09,Tampa Bay Lightning,Montreal Canadiens,4,2,2:33,21288,
2016-02-09,Edmonton Oilers,New Jersey Devils,2,1,2:24,16514,
2016-02-09,Washington Capitals,Nashville Predators,3,5,2:33,17113,
2016-02-09,Anaheim Ducks,Philadelphia Flyers,1,4,2:37,18717,
2016-02-09,Winnipeg Jets,St. Louis Blues,1,2,2:41,18323,SO
2016-02-10,Vancouver Canucks,Arizona Coyotes,1,2,2:39,12255,
2016-02-10,Ottawa Senators,Detroit Red Wings,3,1,2:28,20027,
2016-02-10,New York Rangers,Pittsburgh Penguins,0,3,2:21,18539,
2016-02-11,Anaheim Ducks,Columbus Blue Jackets,4,3,2:34,12117,SO
2016-02-11,Dallas Stars,Chicago Blackhawks,2,4,2:27,22051,
2016-02-11,Toronto Maple Leafs,Edmonton Oilers,5,2,2:30,16839,
2016-02-11,Washington Capitals,Minnesota Wild,3,4,2:41,19213,
2016-02-11,Los Angeles Kings,New York Islanders,5,2,2:29,13643,
2016-02-11,Colorado Avalanche,Ottawa Senators,3,4,2:25,17632,
2016-02-11,Buffalo Sabres,Philadelphia Flyers,5,1,2:24,19019,
2016-02-11,Calgary Flames,San Jose Sharks,5,6,2:51,16854,SO
2016-02-11,Boston Bruins,Winnipeg Jets,2,6,2:34,15294,
2016-02-12,Calgary Flames,Arizona Coyotes,4,1,2:35,13643,
2016-02-12,Montreal Canadiens,Buffalo Sabres,6,4,2:31,18505,
2016-02-12,Pittsburgh Penguins,Carolina Hurricanes,1,2,2:32,15783,SO
2016-02-12,Colorado Avalanche,Detroit Red Wings,2,3,2:38,20027,SO
2016-02-12,St. Louis Blues,Florida Panthers,3,5,2:28,13904,
2016-02-12,Los Angeles Kings,New York Rangers,4,5,2:34,18006,OT
2016-02-12,Nashville Predators,Tampa Bay Lightning,4,3,2:32,19092,OT
2016-02-13,New York Islanders,Carolina Hurricanes,6,3,2:20,16520,
2016-02-13,Ottawa Senators,Columbus Blue Jackets,4,2,2:35,16164,
2016-02-13,Anaheim Ducks,Chicago Blackhawks,2,3,2:36,22107,OT
2016-02-13,Washington Capitals,Dallas Stars,4,3,2:24,18532,
2016-02-13,Winnipeg Jets,Edmonton Oilers,1,2,2:43,16839,SO
2016-02-13,Nashville Predators,Florida Panthers,0,5,2:32,15591,
2016-02-13,Boston Bruins,Minnesota Wild,2,4,2:26,19191,
2016-02-13,New Jersey Devils,Philadelphia Flyers,1,2,2:31,19775,OT
2016-02-13,Arizona Coyotes,San Jose Sharks,4,1,2:32,17562,
2016-02-13,Toronto Maple Leafs,Vancouver Canucks,2,5,2:30,18570,
2016-02-14,Colorado Avalanche,Buffalo Sabres,4,1,2:25,19070,
2016-02-14,Boston Bruins,Detroit Red Wings,6,5,2:33,20027,
2016-02-14,Los Angeles Kings,New Jersey Devils,1,0,2:24,16514,
2016-02-14,Philadelphia Flyers,New York Rangers,3,1,2:36,18006,
2016-02-14,St. Louis Blues,Tampa Bay Lightning,1,2,2:31,19092,
2016-02-15,Montreal Canadiens,Arizona Coyotes,6,2,2:16,14338,
2016-02-15,Anaheim Ducks,Calgary Flames,4,6,2:32,19289,
2016-02-15,Toronto Maple Leafs,Chicago Blackhawks,7,2,2:26,21767,
2016-02-15,Pittsburgh Penguins,Florida Panthers,2,1,2:45,15595,SO
2016-02-15,Dallas Stars,Nashville Predators,2,3,2:32,17113,OT
2016-02-15,Detroit Red Wings,New York Islanders,4,1,2:21,15795,
2016-02-15,Minnesota Wild,Vancouver Canucks,2,5,2:32,18437,
2016-02-16,Winnipeg Jets,Carolina Hurricanes,2,1,2:18,10489,
2016-02-16,Boston Bruins,Columbus Blue Jackets,1,2,2:35,13140,OT
2016-02-16,Anaheim Ducks,Edmonton Oilers,3,5,2:43,16839,
2016-02-16,Philadelphia Flyers,New Jersey Devils,3,6,2:39,15482,
2016-02-16,Buffalo Sabres,Ottawa Senators,2,1,2:36,15893,SO
2016-02-16,Dallas Stars,St. Louis Blues,2,1,2:35,18156,OT
2016-02-16,San Jose Sharks,Tampa Bay Lightning,2,4,2:22,19092,
2016-02-16,Los Angeles Kings,Washington Capitals,3,1,2:32,18506,
2016-02-17,Minnesota Wild,Calgary Flames,3,5,2:28,19289,
2016-02-17,Montreal Canadiens,Colorado Avalanche,3,2,2:27,16271,
2016-02-17,Chicago Blackhawks,New York Rangers,3,5,2:27,18006,
2016-02-18,Dallas Stars,Arizona Coyotes,6,3,2:35,11853,
2016-02-18,Minnesota Wild,Edmonton Oilers,2,5,2:25,16839,
2016-02-18,San Jose Sharks,Florida Panthers,1,2,2:37,13019,SO
2016-02-18,Boston Bruins,Nashville Predators,2,0,2:35,17113,
2016-02-18,Washington Capitals,New York Islanders,2,3,2:44,15795,OT
2016-02-18,Carolina Hurricanes,Ottawa Senators,4,2,2:30,16994,
2016-02-18,Detroit Red Wings,Pittsburgh Penguins,6,3,2:30,18584,
2016-02-18,Los Angeles Kings,St. Louis Blues,2,1,2:42,18923,OT
2016-02-18,Winnipeg Jets,Tampa Bay Lightning,6,5,2:47,19092,SO
2016-02-18,New York Rangers,Toronto Maple Leafs,2,4,2:36,18952,
2016-02-18,Anaheim Ducks,Vancouver Canucks,2,5,2:30,18435,
2016-02-19,San Jose Sharks,Carolina Hurricanes,5,2,2:21,11756,
2016-02-19,Buffalo Sabres,Columbus Blue Jackets,0,4,2:27,14923,
2016-02-19,Vancouver Canucks,Calgary Flames,5,2,2:27,19289,
2016-02-19,Philadelphia Flyers,Montreal Canadiens,3,2,2:50,21288,SO
2016-02-19,New York Islanders,New Jersey Devils,0,1,2:17,16514,
2016-02-20,St. Louis Blues,Arizona Coyotes,4,6,2:29,15839,
2016-02-20,Boston Bruins,Dallas Stars,3,7,2:58,18532,
2016-02-20,Colorado Avalanche,Edmonton Oilers,2,3,2:29,16939,
2016-02-20,Winnipeg Jets,Florida Panthers,3,1,2:27,16210,
2016-02-20,Los Angeles Kings,Nashville Predators,1,2,2:35,17369,OT
2016-02-20,Detroit Red Wings,Ottawa Senators,3,2,2:44,18930,SO
2016-02-20,Tampa Bay Lightning,Pittsburgh Penguins,2,4,2:34,18643,
2016-02-20,Philadelphia Flyers,Toronto Maple Leafs,4,5,2:47,19060,OT
2016-02-20,New Jersey Devils,Washington Capitals,4,3,2:26,18506,
2016-02-21,Calgary Flames,Anaheim Ducks,5,2,2:31,17174,
2016-02-21,Pittsburgh Penguins,Buffalo Sabres,3,4,2:36,19070,
2016-02-21,Tampa Bay Lightning,Carolina Hurricanes,2,4,2:20,10422,
2016-02-21,Chicago Blackhawks,Minnesota Wild,6,1,2:43,50426,
2016-02-21,Detroit Red Wings,New York Rangers,1,0,2:36,18006,OT
2016-02-21,Colorado Avalanche,Vancouver Canucks,5,1,2:28,18431,
2016-02-22,Columbus Blue Jackets,Boston Bruins,4,6,2:37,17565,
2016-02-22,Nashville Predators,Montreal Canadiens,1,2,2:43,21288,SO
2016-02-22,San Jose Sharks,St. Louis Blues,3,6,2:32,19371,
2016-02-22,Arizona Coyotes,Washington Capitals,3,2,2:38,18506,
2016-02-23,Philadelphia Flyers,Carolina Hurricanes,3,1,2:23,10896,
2016-02-23,Columbus Blue Jackets,Detroit Red Wings,2,1,2:32,20027,SO
2016-02-23,Ottawa Senators,Edmonton Oilers,1,4,2:20,16839,
2016-02-23,Calgary Flames,Los Angeles Kings,2,1,2:38,18230,
2016-02-23,New York Islanders,Minnesota Wild,1,4,2:33,19085,
2016-02-23,New York Rangers,New Jersey Devils,5,2,2:32,16514,
2016-02-23,Arizona Coyotes,Tampa Bay Lightning,2,1,2:37,19092,
2016-02-23,Nashville Predators,Toronto Maple Leafs,2,3,2:30,18844,
2016-02-23,Dallas Stars,Winnipeg Jets,3,5,2:32,15294,
2016-02-24,Buffalo Sabres,Anaheim Ducks,1,0,2:33,16543,
2016-02-24,Pittsburgh Penguins,Boston Bruins,5,1,2:26,17565,
2016-02-24,San Jose Sharks,Colorado Avalanche,4,3,2:35,15564,SO
2016-02-24,Montreal Canadiens,Washington Capitals,3,4,2:43,18506,
2016-02-25,New Jersey Devils,Columbus Blue Jackets,6,1,2:23,12590,
2016-02-25,New York Islanders,Calgary Flames,1,2,2:34,19289,OT
2016-02-25,Nashville Predators,Chicago Blackhawks,1,3,2:22,22058,
2016-02-25,Winnipeg Jets,Dallas Stars,3,6,2:31,18532,
2016-02-25,Arizona Coyotes,Florida Panthers,3,2,2:35,13134,
2016-02-25,Edmonton Oilers,Los Angeles Kings,2,1,2:39,18230,
2016-02-25,Minnesota Wild,Philadelphia Flyers,3,2,2:29,18631,
2016-02-25,New York Rangers,St. Louis Blues,1,2,2:22,17524,
2016-02-25,Carolina Hurricanes,Toronto Maple Leafs,3,1,2:40,18862,
2016-02-25,Ottawa Senators,Vancouver Canucks,5,3,2:29,18570,
2016-02-26,Edmonton Oilers,Anaheim Ducks,2,1,2:18,17174,OT
2016-02-26,Boston Bruins,Carolina Hurricanes,1,4,2:27,17917,
2016-02-26,Tampa Bay Lightning,New Jersey Devils,0,4,2:33,15968,
2016-02-26,Buffalo Sabres,San Jose Sharks,1,3,2:17,17562,
2016-02-26,Minnesota Wild,Washington Capitals,3,2,2:21,18605,
2016-02-27,Florida Panthers,Columbus Blue Jackets,4,3,2:55,15400,SO
2016-02-27,Ottawa Senators,Calgary Flames,4,6,2:36,19289,
2016-02-27,Detroit Red Wings,Colorado Avalanche,3,5,2:39,50095,
2016-02-27,New York Rangers,Dallas Stars,2,3,2:37,18532,
2016-02-27,Buffalo Sabres,Los Angeles Kings,2,0,2:28,18230,
2016-02-27,Toronto Maple Leafs,Montreal Canadiens,4,1,2:40,21288,
2016-02-27,St. Louis Blues,Nashville Predators,5,0,2:34,17379,
2016-02-27,Arizona Coyotes,Philadelphia Flyers,4,2,2:30,19773,
2016-02-27,Winnipeg Jets,Pittsburgh Penguins,4,1,2:23,18650,
2016-02-28,Los Angeles Kings,Anaheim Ducks,4,2,2:44,17174,
2016-02-28,Tampa Bay Lightning,Boston Bruins,1,4,2:31,17565,
2016-02-28,St. Louis Blues,Carolina Hurricanes,2,5,2:30,15128,
2016-02-28,Washington Capitals,Chicago Blackhawks,3,2,2:24,22218,
2016-02-28,New York Islanders,Edmonton Oilers,3,1,2:23,16839,
2016-02-28,Florida Panthers,Minnesota Wild,3,1,2:37,19093,
2016-02-28,San Jose Sharks,Vancouver Canucks,1,4,2:19,18570,
2016-02-29,Detroit Red Wings,Dallas Stars,2,3,2:40,18532,OT
2016-02-29,Columbus Blue Jackets,New York Rangers,2,1,2:26,18006,
2016-02-29,Calgary Flames,Philadelphia Flyers,5,3,2:37,19065,
2016-02-29,Arizona Coyotes,Pittsburgh Penguins,6,0,2:29,18435,
2016-02-29,Montreal Canadiens,San Jose Sharks,6,2,2:28,16205,
2016-02-29,Tampa Bay Lightning,Toronto Maple Leafs,1,2,2:28,18933,
2016-03-01,Calgary Flames,Boston Bruins,2,1,2:28,17565,
2016-03-01,Edmonton Oilers,Buffalo Sabres,1,2,2:40,19070,OT
2016-03-01,Colorado Avalanche,Minnesota Wild,6,3,2:23,19107,
2016-03-01,Carolina Hurricanes,New Jersey Devils,1,3,2:26,14251,
2016-03-01,Dallas Stars,Nashville Predators,5,3,2:45,17113,
2016-03-01,St. Louis Blues,Ottawa Senators,3,4,2:51,17207,SO
2016-03-01,New York Islanders,Vancouver Canucks,2,3,2:29,18264,
2016-03-01,Florida Panthers,Winnipeg Jets,2,3,2:21,15294,
2016-03-01,Pittsburgh Penguins,Washington Capitals,3,2,2:30,18506,
2016-03-02,Montreal Canadiens,Anaheim Ducks,3,2,2:47,15273,SO
2016-03-02,Chicago Blackhawks,Detroit Red Wings,2,5,2:28,20027,
2016-03-02,Toronto Maple Leafs,Washington Capitals,3,2,2:32,18506,
2016-03-03,Anaheim Ducks,Arizona Coyotes,1,5,2:31,11999,
2016-03-03,Chicago Blackhawks,Boston Bruins,4,2,2:25,17565,
2016-03-03,Calgary Flames,Buffalo Sabres,6,3,2:31,18651,
2016-03-03,Florida Panthers,Colorado Avalanche,3,2,2:24,16194,
2016-03-03,Montreal Canadiens,Los Angeles Kings,3,2,2:25,18230,
2016-03-03,New Jersey Devils,Nashville Predators,4,5,2:50,17113,OT
2016-03-03,Tampa Bay Lightning,Ottawa Senators,1,4,2:27,17943,
2016-03-03,Edmonton Oilers,Philadelphia Flyers,0,4,2:32,18636,
2016-03-03,New York Rangers,Pittsburgh Penguins,4,1,2:22,18492,
2016-03-03,Minnesota Wild,Toronto Maple Leafs,1,2,2:27,18915,
2016-03-03,San Jose Sharks,Vancouver Canucks,2,3,2:24,18422,
2016-03-03,New York Islanders,Winnipeg Jets,3,4,2:32,15294,OT
2016-03-04,Edmonton Oilers,Columbus Blue Jackets,6,3,2:38,15010,
2016-03-04,New Jersey Devils,Dallas Stars,4,2,2:31,18117,
2016-03-04,New York Rangers,Washington Capitals,2,3,2:37,18506,
2016-03-05,Florida Panthers,Arizona Coyotes,5,1,2:31,14825,
2016-03-05,Washington Capitals,Boston Bruins,1,2,2:40,17565,OT
2016-03-05,Minnesota Wild,Buffalo Sabres,2,3,2:47,19070,SO
2016-03-05,Nashville Predators,Colorado Avalanche,2,5,2:32,17165,
2016-03-05,Anaheim Ducks,Los Angeles Kings,2,3,2:36,18230,
2016-03-05,Columbus Blue Jackets,Philadelphia Flyers,6,0,2:23,19645,
2016-03-05,Calgary Flames,Pittsburgh Penguins,2,4,2:26,18663,
2016-03-05,Vancouver Canucks,San Jose Sharks,2,4,2:36,17562,
2016-03-05,Carolina Hurricanes,Tampa Bay Lightning,4,3,2:31,19092,OT
2016-03-05,Ottawa Senators,Toronto Maple Leafs,2,3,2:32,19339,
2016-03-05,Montreal Canadiens,Winnipeg Jets,4,2,2:20,15294,
2016-03-06,Detroit Red Wings,Chicago Blackhawks,4,1,2:24,22247,
2016-03-06,St. Louis Blues,Minnesota Wild,2,4,2:35,19040,
2016-03-06,Pittsburgh Penguins,New Jersey Devils,1,6,2:27,15856,
2016-03-06,New York Islanders,New York Rangers,4,6,2:28,18006,
2016-03-06,Dallas Stars,Ottawa Senators,1,2,2:33,19419,
2016-03-06,Edmonton Oilers,Winnipeg Jets,1,2,2:21,15294,
2016-03-07,Washington Capitals,Anaheim Ducks,1,2,2:38,17174,SO
2016-03-07,San Jose Sharks,Calgary Flames,1,2,2:26,18740,OT
2016-03-07,Arizona Coyotes,Colorado Avalanche,3,1,2:29,15393,
2016-03-07,Boston Bruins,Florida Panthers,4,5,3:00,19194,OT
2016-03-07,Vancouver Canucks,Los Angeles Kings,5,1,2:21,18230,
2016-03-07,Tampa Bay Lightning,Philadelphia Flyers,4,2,2:30,17906,
2016-03-07,Buffalo Sabres,Toronto Maple Leafs,3,4,2:50,18950,SO
2016-03-08,New York Rangers,Buffalo Sabres,2,4,2:27,18651,
2016-03-08,Ottawa Senators,Carolina Hurricanes,4,3,2:37,10743,SO
2016-03-08,Detroit Red Wings,Columbus Blue Jackets,5,3,2:34,14426,
2016-03-08,San Jose Sharks,Edmonton Oilers,0,3,2:22,16839,
2016-03-08,Dallas Stars,Montreal Canadiens,4,3,2:38,21288,OT
2016-03-08,Pittsburgh Penguins,New York Islanders,2,1,2:34,14724,
2016-03-08,Boston Bruins,Tampa Bay Lightning,0,1,2:26,19092,OT
2016-03-08,Nashville Predators,Winnipeg Jets,2,4,2:30,15294,
2016-03-09,Nashville Predators,Calgary Flames,3,2,2:29,19289,OT
2016-03-09,Anaheim Ducks,Colorado Avalanche,3,0,2:25,14292,
2016-03-09,Washington Capitals,Los Angeles Kings,4,3,2:38,18324,OT
2016-03-09,Chicago Blackhawks,St. Louis Blues,3,2,2:52,19756,SO
2016-03-09,New York Islanders,Toronto Maple Leafs,4,3,2:49,18889,SO
2016-03-09,Arizona Coyotes,Vancouver Canucks,3,2,2:33,18374,OT
2016-03-10,Carolina Hurricanes,Boston Bruins,2,3,2:34,17565,OT
2016-03-10,Winnipeg Jets,Detroit Red Wings,3,2,2:29,20027,
2016-03-10,Ottawa Senators,Florida Panthers,6,2,2:33,15051,
2016-03-10,Edmonton Oilers,Minnesota Wild,1,2,2:23,19058,
2016-03-10,Buffalo Sabres,Montreal Canadiens,3,2,2:54,21288,
2016-03-10,New Jersey Devils,San Jose Sharks,0,3,2:22,16234,
2016-03-11,Pittsburgh Penguins,Columbus Blue Jackets,2,3,2:31,18205,
2016-03-11,Arizona Coyotes,Calgary Flames,1,4,2:26,19289,
2016-03-11,Chicago Blackhawks,Dallas Stars,5,2,2:33,18532,
2016-03-11,Anaheim Ducks,St. Louis Blues,5,2,2:28,19412,
2016-03-11,Philadelphia Flyers,Tampa Bay Lightning,1,3,2:20,19092,
2016-03-12,New York Islanders,Boston Bruins,3,1,2:27,17565,
2016-03-12,Carolina Hurricanes,Buffalo Sabres,3,2,2:35,19070,OT
2016-03-12,St. Louis Blues,Dallas Stars,4,5,2:35,18532,OT
2016-03-12,New York Rangers,Detroit Red Wings,3,2,2:37,20027,OT
2016-03-12,Arizona Coyotes,Edmonton Oilers,0,4,2:29,16839,
2016-03-12,Philadelphia Flyers,Florida Panthers,5,4,2:50,19404,SO
2016-03-12,New Jersey Devils,Los Angeles Kings,1,2,2:30,18412,OT
2016-03-12,Minnesota Wild,Montreal Canadiens,1,4,2:28,21288,
2016-03-12,Toronto Maple Leafs,Ottawa Senators,4,0,2:27,18557,
2016-03-12,Washington Capitals,San Jose Sharks,5,2,2:26,17562,
2016-03-12,Nashville Predators,Vancouver Canucks,4,2,2:24,18570,
2016-03-12,Colorado Avalanche,Winnipeg Jets,3,2,2:29,15294,
2016-03-13,Tampa Bay Lightning,Columbus Blue Jackets,0,4,2:26,14701,
2016-03-13,Toronto Maple Leafs,Detroit Red Wings,0,1,2:40,20027,
2016-03-13,Pittsburgh Penguins,New York Rangers,3,5,2:25,18006,
2016-03-14,New Jersey Devils,Anaheim Ducks,7,1,2:33,15423,
2016-03-14,St. Louis Blues,Calgary Flames,7,4,2:43,19107,
2016-03-14,Los Angeles Kings,Chicago Blackhawks,0,5,2:32,22170,
2016-03-14,Nashville Predators,Edmonton Oilers,2,3,2:33,16839,
2016-03-14,Florida Panthers,New York Islanders,3,2,2:18,14106,
2016-03-14,Winnipeg Jets,Vancouver Canucks,2,5,2:14,18361,
2016-03-15,Los Angeles Kings,Dallas Stars,2,5,2:27,18532,
2016-03-15,Florida Panthers,Montreal Canadiens,1,4,2:31,21288,
2016-03-15,Minnesota Wild,Ottawa Senators,3,2,2:34,18966,OT
2016-03-15,Detroit Red Wings,Philadelphia Flyers,4,3,2:43,19806,
2016-03-15,New York Islanders,Pittsburgh Penguins,2,1,2:41,18456,SO
2016-03-15,Boston Bruins,San Jose Sharks,3,2,2:30,16624,
2016-03-15,Tampa Bay Lightning,Toronto Maple Leafs,4,1,2:27,18874,
2016-03-15,Carolina Hurricanes,Washington Capitals,2,1,2:22,18506,OT
2016-03-16,New York Rangers,Anaheim Ducks,1,2,2:29,15400,
2016-03-16,Montreal Canadiens,Buffalo Sabres,2,3,2:58,18815,OT
2016-03-16,Winnipeg Jets,Calgary Flames,4,1,2:31,18929,
2016-03-16,Philadelphia Flyers,Chicago Blackhawks,2,3,2:20,22113,
2016-03-16,St. Louis Blues,Edmonton Oilers,6,4,2:39,16839,
2016-03-16,Colorado Avalanche,Vancouver Canucks,1,3,2:20,18426,
2016-03-17,San Jose Sharks,Arizona Coyotes,3,1,2:28,13005,
2016-03-17,Detroit Red Wings,Columbus Blue Jackets,1,3,2:29,14415,
2016-03-17,Tampa Bay Lightning,Dallas Stars,4,3,2:30,18532,
2016-03-17,New York Rangers,Los Angeles Kings,4,3,2:36,18230,OT
2016-03-17,Minnesota Wild,New Jersey Devils,7,4,2:32,15114,
2016-03-17,New York Islanders,Nashville Predators,4,2,2:26,17113,
2016-03-17,Carolina Hurricanes,Pittsburgh Penguins,4,2,2:31,18455,
2016-03-17,Florida Panthers,Toronto Maple Leafs,1,4,2:32,18922,
2016-03-18,Boston Bruins,Anaheim Ducks,4,0,2:20,16707,
2016-03-18,Ottawa Senators,Buffalo Sabres,3,1,2:35,19070,
2016-03-18,Colorado Avalanche,Calgary Flames,3,4,2:43,19289,SO
2016-03-18,Vancouver Canucks,Edmonton Oilers,2,0,2:29,16839,
2016-03-18,Chicago Blackhawks,Winnipeg Jets,0,4,2:23,15294,
2016-03-18,Nashville Predators,Washington Capitals,4,1,2:28,18506,
2016-03-19,Tampa Bay Lightning,Arizona Coyotes,0,2,2:35,14183,
2016-03-19,New Jersey Devils,Columbus Blue Jackets,6,3,2:36,14447,
2016-03-19,New York Islanders,Dallas Stars,3,0,2:21,18532,
2016-03-19,Detroit Red Wings,Florida Panthers,3,5,2:38,20817,
2016-03-19,Boston Bruins,Los Angeles Kings,2,1,2:26,18373,
2016-03-19,Carolina Hurricanes,Minnesota Wild,3,2,2:38,19044,SO
2016-03-19,Montreal Canadiens,Ottawa Senators,5,0,2:27,19722,
2016-03-19,Pittsburgh Penguins,Philadelphia Flyers,1,4,2:39,19967,
2016-03-19,New York Rangers,San Jose Sharks,4,1,2:30,16888,
2016-03-19,Buffalo Sabres,Toronto Maple Leafs,4,1,2:30,18829,
2016-03-19,St. Louis Blues,Vancouver Canucks,0,3,2:29,18402,
2016-03-20,Minnesota Wild,Chicago Blackhawks,2,3,2:50,22059,SO
2016-03-20,Colorado Avalanche,Edmonton Oilers,2,3,2:27,16839,
2016-03-20,Calgary Flames,Montreal Canadiens,1,4,2:25,21288,
2016-03-20,Columbus Blue Jackets,New Jersey Devils,2,1,2:26,15146,
2016-03-20,Washington Capitals,Pittsburgh Penguins,6,2,2:41,18656,
2016-03-20,Arizona Coyotes,San Jose Sharks,3,0,2:29,15756,
2016-03-20,Anaheim Ducks,Winnipeg Jets,2,3,2:40,15294,OT
2016-03-21,Los Angeles Kings,Nashville Predators,5,2,2:30,17113,
2016-03-21,Philadelphia Flyers,New York Islanders,1,4,2:23,14329,
2016-03-21,Florida Panthers,New York Rangers,4,2,2:36,18006,
2016-03-21,Calgary Flames,Toronto Maple Leafs,5,2,2:32,19069,
2016-03-22,Edmonton Oilers,Arizona Coyotes,4,2,2:25,13408,
2016-03-22,Buffalo Sabres,Carolina Hurricanes,2,3,2:30,12676,
2016-03-22,Philadelphia Flyers,Columbus Blue Jackets,3,2,2:57,16230,SO
2016-03-22,Dallas Stars,Chicago Blackhawks,2,6,2:27,22034,
2016-03-22,Los Angeles Kings,Minnesota Wild,2,1,2:32,19018,
2016-03-22,Anaheim Ducks,Montreal Canadiens,4,3,2:28,21288,
2016-03-22,Washington Capitals,Ottawa Senators,2,4,2:28,19313,
2016-03-22,St. Louis Blues,San Jose Sharks,0,1,2:28,15411,
2016-03-22,Detroit Red Wings,Tampa Bay Lightning,6,2,2:29,19092,
2016-03-22,Vancouver Canucks,Winnipeg Jets,2,0,2:17,15294,
2016-03-23,Ottawa Senators,New York Islanders,3,1,2:27,13837,
2016-03-23,Boston Bruins,New York Rangers,5,2,2:41,18006,
2016-03-24,Dallas Stars,Arizona Coyotes,3,1,2:28,11887,
2016-03-24,Florida Panthers,Boston Bruins,1,4,2:45,17565,
2016-03-24,Carolina Hurricanes,Columbus Blue Jackets,2,3,2:34,16031,
2016-03-24,Philadelphia Flyers,Colorado Avalanche,2,4,2:28,18087,
2016-03-24,Montreal Canadiens,Detroit Red Wings,4,3,2:37,20027,
2016-03-24,Calgary Flames,Minnesota Wild,6,2,2:34,19032,
2016-03-24,Vancouver Canucks,Nashville Predators,3,2,2:35,17113,SO
2016-03-24,New Jersey Devils,Pittsburgh Penguins,0,3,2:21,18610,
2016-03-24,Edmonton Oilers,San Jose Sharks,3,6,2:28,16570,
2016-03-24,Anaheim Ducks,Toronto Maple Leafs,6,5,2:38,18935,OT
2016-03-24,Los Angeles Kings,Winnipeg Jets,4,1,2:23,15294,
2016-03-25,Washington Capitals,New Jersey Devils,0,1,2:27,16514,OT
2016-03-25,Vancouver Canucks,St. Louis Blues,4,0,2:23,19580,
2016-03-25,New York Islanders,Tampa Bay Lightning,7,4,2:37,19092,
2016-03-26,Philadelphia Flyers,Arizona Coyotes,2,1,2:44,16002,
2016-03-26,Winnipeg Jets,Buffalo Sabres,3,2,2:24,19070,
2016-03-26,New York Islanders,Carolina Hurricanes,3,4,2:29,11636,OT
2016-03-26,Chicago Blackhawks,Calgary Flames,1,4,2:23,19289,
2016-03-26,Minnesota Wild,Colorado Avalanche,0,4,2:31,18007,
2016-03-26,Pittsburgh Penguins,Detroit Red Wings,2,7,2:36,20027,
2016-03-26,Edmonton Oilers,Los Angeles Kings,6,4,2:32,18230,
2016-03-26,New York Rangers,Montreal Canadiens,2,5,2:22,21288,
2016-03-26,Columbus Blue Jackets,Nashville Predators,5,1,2:24,17113,
2016-03-26,Anaheim Ducks,Ottawa Senators,3,4,2:29,18162,OT
2016-03-26,Dallas Stars,San Jose Sharks,2,4,2:35,16439,
2016-03-26,Florida Panthers,Tampa Bay Lightning,2,5,2:28,19092,
2016-03-26,Boston Bruins,Toronto Maple Leafs,1,3,2:38,19185,
2016-03-26,St. Louis Blues,Washington Capitals,0,4,2:21,18506,
2016-03-27,New Jersey Devils,Carolina Hurricanes,3,2,2:23,12792,
2016-03-27,Pittsburgh Penguins,New York Rangers,2,3,2:42,18006,OT
2016-03-27,Chicago Blackhawks,Vancouver Canucks,2,3,2:26,18570,
2016-03-28,Calgary Flames,Arizona Coyotes,2,5,2:30,14347,
